latitude,longitude,season,chlor_a,sss,analysed_sst,year_month
-2.7812526,132.78127,Musim Barat,10.444413525,34.5110015,30.036666666666665,2022-12
-2.7812526,134.44792,Musim Barat,4.110423825,32.466515,29.893333333333334,2022-12
-2.7812526,134.65627,Musim Barat,0.3183987275,32.466515,29.893333333333334,2022-12
-2.7812526,134.86461,Musim Barat,0.27707719,32.466515,30.363333333333333,2022-12
-2.7812526,135.07292,Musim Barat,0.2255500525,32.466515,30.363333333333333,2022-12
-2.7812526,135.28127,Musim Barat,0.2325299025,34.1981272,30.116666666666664,2022-12
-2.7812526,135.48961,Musim Barat,0.28803217,34.1981272,30.116666666666664,2022-12
-2.7812526,135.69792,Musim Barat,0.5547737075,34.065457800000004,30.116666666666664,2022-12
-2.7812526,135.90627,Musim Barat,1.400138825,34.065457800000004,29.75,2022-12
-2.7812526,138.40627,Musim Barat,23.153646,33.9151076,29.75,2022-12
-2.5729167,127.9896,Musim Barat,0.17752212750000002,34.402125285714284,29.713333333333335,2022-12
-2.5729167,128.19792,Musim Barat,0.177562675,34.402125285714284,29.713333333333335,2022-12
-2.5729167,128.40627,Musim Barat,0.17703048,33.682957,29.673333333333336,2022-12
-2.5729167,128.61461,Musim Barat,0.176970025,33.1358485,29.673333333333336,2022-12
-2.5729167,128.82292,Musim Barat,0.185237085,33.15312,29.646666666666665,2022-12
-2.5729167,129.03127,Musim Barat,0.1933325625,34.1886796,29.646666666666665,2022-12
-2.5729167,129.23961,Musim Barat,0.2174489775,34.1886796,29.646666666666665,2022-12
-2.5729167,129.44792,Musim Barat,0.2061458275,34.87046425,29.7,2022-12
-2.5729167,129.65627,Musim Barat,0.19332164000000002,35.9056225,29.7,2022-12
-2.5729167,129.86461,Musim Barat,0.166917225,32.35823833333333,29.72,2022-12
-2.5729167,130.07292,Musim Barat,0.1620261725,33.072946333333334,29.72,2022-12
-2.5729167,130.28127,Musim Barat,0.150886735,34.648327,29.853333333333335,2022-12
-2.5729167,130.48961,Musim Barat,0.1596800075,34.648327,29.853333333333335,2022-12
-2.5729167,130.69792,Musim Barat,0.1657869525,34.271952999999996,29.853333333333335,2022-12
-2.5729167,130.90627,Musim Barat,0.17650658,34.335668285714284,30.026666666666667,2022-12
-2.5729167,131.11461,Musim Barat,0.18371841249999998,33.94178885714286,30.026666666666667,2022-12
-2.5729167,131.32292,Musim Barat,0.18377530250000002,33.426535333333334,29.92,2022-12
-2.5729167,131.53127,Musim Barat,0.2064106325,33.426535333333334,29.92,2022-12
-2.5729167,131.73961,Musim Barat,0.29364862,33.426535333333334,29.92,2022-12
-2.5729167,131.94792,Musim Barat,0.6457362525,35.66477683333333,30.096666666666668,2022-12
-2.5729167,132.15627,Musim Barat,0.92072049,35.66477683333333,30.096666666666668,2022-12
-2.5729167,132.36461,Musim Barat,1.233614175,34.5110015,30.096666666666668,2022-12
-2.5729167,132.57292,Musim Barat,1.859556325,34.5110015,30.03333333333333,2022-12
-2.5729167,132.78127,Musim Barat,2.91702225,34.5110015,30.03333333333333,2022-12
-2.5729167,132.98961,Musim Barat,7.021231425,34.5110015,30.03333333333333,2022-12
-2.5729167,133.40627,Musim Barat,3.5083542650000004,34.5110015,29.919999999999998,2022-12
-2.5729167,134.44792,Musim Barat,0.718889785,32.849089,29.893333333333334,2022-12
-2.5729167,134.65627,Musim Barat,0.2486648825,32.849089,29.893333333333334,2022-12
-2.5729167,134.86461,Musim Barat,0.2365070675,32.849089,30.363333333333333,2022-12
-2.5729167,135.07292,Musim Barat,0.215788315,32.849089,30.363333333333333,2022-12
-2.5729167,135.28127,Musim Barat,0.21593587250000001,34.1981272,30.116666666666664,2022-12
-2.5729167,135.48961,Musim Barat,0.22087665499999998,34.1981272,30.116666666666664,2022-12
-2.5729167,135.69792,Musim Barat,0.24941690249999998,34.065457800000004,30.116666666666664,2022-12
-2.5729167,135.90627,Musim Barat,0.4676848575,30.215775,29.75,2022-12
-2.5729167,136.11461,Musim Barat,0.81360435,30.215775,29.75,2022-12
-2.3645885,127.9896,Musim Barat,0.1716830825,34.402125285714284,29.88,2022-12
-2.3645885,128.19792,Musim Barat,0.15943193249999998,34.402125285714284,29.88,2022-12
-2.3645885,128.40627,Musim Barat,0.160510749,33.682957,29.986666666666668,2022-12
-2.3645885,128.61461,Musim Barat,0.1619950175,33.1358485,29.986666666666668,2022-12
-2.3645885,128.82292,Musim Barat,0.1729597275,33.15312,29.973333333333333,2022-12
-2.3645885,129.03127,Musim Barat,0.178268765,34.1886796,29.973333333333333,2022-12
-2.3645885,129.23961,Musim Barat,0.18909123,34.1886796,29.973333333333333,2022-12
-2.3645885,129.44792,Musim Barat,0.2082480075,34.87046425,29.78,2022-12
-2.3645885,129.65627,Musim Barat,0.20634469500000002,35.9056225,29.78,2022-12
-2.3645885,129.86461,Musim Barat,0.184110225,32.35823833333333,29.63,2022-12
-2.3645885,130.07292,Musim Barat,0.1686178575,32.35823833333333,29.63,2022-12
-2.3645885,130.28127,Musim Barat,0.16643516,34.648327,29.903333333333336,2022-12
-2.3645885,130.48961,Musim Barat,0.18589102000000002,34.648327,29.903333333333336,2022-12
-2.3645885,130.69792,Musim Barat,0.1864055475,34.271952999999996,29.903333333333336,2022-12
-2.3645885,130.90627,Musim Barat,0.20847246749999998,34.335668285714284,30.05,2022-12
